article;english_name;russian_name;russian_confirmed;manufacturer;in_stock_qty;current_price_rub;provenance;own_wholesale_source;own_wholesale_usd;replacement_source;replacement_article;replacement_wholesale_usd;formula_price_rub;delta_rub;replacement_formula_price_rub;price_equals_replacement_formula;catalog;catalog_reference;link_price_source;why_not_certified;suggested_action
705400352;RUBBER BELLOW;;нет;BRP;2.000;925.00;UNVERIFIED;нет;;да;705400552;5.12;;;753.00;нет;brp;705400352;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 705400552 она есть (5.12 $); по замене вышло бы 753.00 руб.";NEEDS HUMAN REVIEW
3086878;BALL BEARING;;нет;POLARIS;1.000;0.00;SOURCE_MISSING;нет;;нет;;;;;;;polaris;3086878;calculated;у своей позиции каталога нет положительной оптовой цены;NEED SOURCE
417300197;BELT_DRIVE;;нет;BRP;1.000;19355.00;UNVERIFIED;нет;;да;417300586;131.67;;;19355.00;да;brp;417300197;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 417300586 она есть (131.67 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
517302674;CLIP;;нет;BRP;1.000;247.00;UNVERIFIED;нет;;да;517306751;1.68;;;247.00;да;brp;517302674;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 517306751 она есть (1.68 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
3022206;CYLINDER, 77.25;;нет;POLARIS;1.000;45000.00;SOURCE_MISSING;нет;;нет;;;;;;;polaris;3022206;calculated;у своей позиции каталога нет положительной оптовой цены;NEED SOURCE
420413575RG5;CYLINDER BLOCK PLASMA REBUILD G5;;нет;;1.000;100000.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
250000059;HEX. FLANGED SCEW M6 X 18;;нет;BRP;1.000;616.00;UNVERIFIED;нет;;да;250000418;3.29;;;484.00;нет;brp;250000059;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 250000418 она есть (3.29 $); по замене вышло бы 484.00 руб.";NEEDS HUMAN REVIEW
515176825;KILL SWITCH SUPPORT;;нет;BRP;1.000;1078.00;UNVERIFIED;нет;;да;515177310;7.33;;;1078.00;да;brp;515176825;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 515177310 она есть (7.33 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
269500530;LATCH;;нет;BRP;1.000;1923.00;UNVERIFIED;нет;;да;269501487;13.08;;;1923.00;да;brp;269500530;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 269501487 она есть (13.08 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
420232480;NEEDLE BUSHING;;нет;BRP;1.000;2308.00;UNVERIFIED;нет;;да;420232482;15.70;;;2308.00;да;brp;420232480;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420232482 она есть (15.70 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
519000305;OIL PUMP;;нет;BRP;1.000;0.00;SOURCE_MISSING;нет;;нет;;;;;;;brp;519000305;calculated;у своей позиции каталога нет положительной оптовой цены;NEED SOURCE
703500049;PINION SHIM KIT;;нет;BRP;1.000;2792.00;UNVERIFIED;нет;;да;705502061;13.73;;;2018.00;нет;brp;703500049;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 705502061 она есть (13.73 $); по замене вышло бы 2018.00 руб.";NEEDS HUMAN REVIEW
420650370;ROTARY SEAL;;нет;BRP;1.000;5293.00;UNVERIFIED;нет;;да;420650371;36.01;;;5293.00;да;brp;420650370;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420650371 она есть (36.01 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
400509000;ROTAX ENGINE 503 ASY;;нет;;1.000;300000.00;NOT_APPLICABLE;нет;;нет;;;;;;;;;;карточка не связана с каталогом поставщика: формулы для неё нет;NOT APPLICABLE
420257944;SHIFTING SLEEVE;;нет;BRP;1.000;12132.00;UNVERIFIED;нет;;да;420257945;82.53;;;12132.00;да;brp;420257944;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 420257945 она есть (82.53 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
715000043;SUPPORT-DOUBLE;;нет;BRP;1.000;15600.00;UNVERIFIED;нет;;да;715001945;106.12;;;15600.00;да;brp;715000043;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 715001945 она есть (106.12 $); текущая цена РАВНА цене по замене";NEEDS HUMAN REVIEW
293150089;TUFLOK PLASTIC RIVET;;нет;BRP;1.000;219.00;UNVERIFIED;нет;;да;293150230;1.22;;;179.00;нет;brp;293150089;manual;"цена помечена ручной в связи с каталогом: коммерческий смысл не подтверждён; своей оптовой цены нет, у замены 293150230 она есть (1.22 $); по замене вышло бы 179.00 руб.";NEEDS HUMAN REVIEW
